Texture,Perimeter,Area,Compactness,Concavity,Concave points,Symmetry,Fractal dimension
20.22,70.15,338.3,0.166,0.228,0.05941,0.2188,0.0845
28.21,85.89,562.1,0.04726,0.01271,0.01117,0.1421,0.05763
15.15,88.27,580.6,0.07548,0.04249,0.02471,0.1792,0.05897
18.83,73.3,361.6,0.2154,0.1689,0.06367,0.2196,0.0795
12.96,73.16,386.3,0.1111,0.079,0.0555,0.2018,0.06914
14.93,70.67,372.7,0.07079,0.03546,0.02074,0.2003,0.06246
22.72,78.75,447.8,0.1073,0.07943,0.02978,0.1203,0.06659
17.48,80.64,462.9,0.1297,0.05892,0.0288,0.1779,0.06588
13.72,85.79,541.8,0.08575,0.05077,0.02864,0.1617,0.05594
23.29,93.97,664.7,0.06636,0.0839,0.05271,0.1627,0.05416
14.09,78.78,462.0,0.07823,0.06839,0.02534,0.1646,0.06154
16.16,88.37,596.6,0.04831,0.02045,0.008507,0.1607,0.05474
15.5,73.38,392.0,0.1114,0.1007,0.02757,0.181,0.07252
23.21,128.9,1174.0,0.1318,0.1856,0.1021,0.1989,0.05884
12.22,65.75,321.6,0.07542,0.01923,0.01968,0.18,0.06569
16.84,55.27,234.3,0.07428,0.0,0.0,0.1985,0.07098
19.97,102.4,744.7,0.1562,0.1891,0.09113,0.1929,0.06744
22.28,144.4,1407.0,0.2087,0.281,0.1562,0.2162,0.06606
17.72,78.07,446.2,0.09758,0.04783,0.03326,0.1937,0.06161
17.18,89.75,609.1,0.05361,0.02681,0.03251,0.1641,0.05764
18.89,88.1,558.1,0.1147,0.0858,0.05381,0.1806,0.06079
17.46,83.05,508.3,0.08895,0.0739,0.04083,0.1574,0.0575
14.83,70.31,378.2,0.04768,0.02712,0.007246,0.1535,0.06214
17.26,75.26,431.9,0.06232,0.02853,0.01638,0.1847,0.06019
21.02,124.4,994.0,0.2576,0.3189,0.1198,0.2113,0.07115
10.91,76.14,442.7,0.05242,0.02606,0.01796,0.1601,0.05541
18.29,84.18,525.2,0.07899,0.04057,0.01883,0.1874,0.05899
16.17,83.18,507.6,0.08836,0.03296,0.0239,0.1735,0.062
14.95,78.29,469.1,0.04571,0.02109,0.02054,0.1571,0.05708
18.59,70.39,370.0,0.0746,0.04944,0.02932,0.1486,0.06615
14.86,104.3,800.0,0.08501,0.055,0.04528,0.1735,0.05875
21.37,82.63,514.5,0.08316,0.06126,0.01867,0.158,0.06114
20.66,117.8,991.7,0.1304,0.1201,0.08824,0.1992,0.06069
17.92,78.41,466.1,0.06526,0.03211,0.02653,0.1966,0.05597
17.57,72.49,399.8,0.05313,0.02783,0.021,0.1601,0.05913
16.83,70.92,373.2,0.07804,0.03046,0.0248,0.1714,0.0634
21.68,59.75,268.8,0.06053,0.03735,0.005128,0.1274,0.06724
22.11,97.53,693.7,0.1025,0.06859,0.03876,0.1944,0.05913
29.81,96.71,719.5,0.04605,0.04686,0.02739,0.1852,0.05294
21.17,76.39,433.8,0.0812,0.02555,0.02179,0.2019,0.0629
21.7,59.6,271.2,0.06159,0.02047,0.01257,0.2025,0.06601
21.08,102.9,803.1,0.1571,0.1522,0.08481,0.2085,0.06864
12.17,80.88,495.0,0.05794,0.0236,0.02402,0.1583,0.06275
21.41,70.95,380.3,0.05978,0.008955,0.01076,0.1615,0.06144
19.04,74.2,409.7,0.07722,0.05485,0.01428,0.2031,0.06267
13.98,98.22,656.1,0.1836,0.145,0.063,0.2086,0.07406
16.02,75.46,408.2,0.1168,0.07097,0.04497,0.1886,0.0632
19.13,89.46,575.3,0.1147,0.09657,0.04812,0.1848,0.06181
19.12,61.93,289.7,0.08333,0.008934,0.01967,0.2538,0.07029
21.28,63.19,307.3,0.03912,0.00247,0.005159,0.163,0.06439
14.98,67.49,333.6,0.1013,0.06335,0.02218,0.1925,0.06915
21.98,68.79,359.9,0.05743,0.03614,0.01404,0.2016,0.05977
16.62,70.47,381.1,0.03834,0.01369,0.0137,0.1511,0.06148
17.67,80.98,501.3,0.04522,0.01402,0.01835,0.1459,0.05544
22.53,102.1,685.0,0.2225,0.2733,0.09711,0.2041,0.06898
17.68,81.47,467.8,0.1316,0.07741,0.02799,0.1811,0.07102
19.54,133.8,1250.0,0.1489,0.2133,0.1259,0.1724,0.06053
21.97,123.7,1110.0,0.1389,0.1594,0.08744,0.1943,0.06132
16.94,94.89,673.7,0.07074,0.03346,0.02877,0.1573,0.05703
19.62,91.12,599.5,0.1133,0.1126,0.06463,0.1669,0.06544
19.54,82.67,509.2,0.07883,0.01797,0.0209,0.1861,0.06347
15.98,89.78,611.2,0.05895,0.03534,0.02944,0.1714,0.05898
19.6,88.68,592.6,0.0633,0.01342,0.02293,0.1555,0.05673
15.66,89.59,606.5,0.05581,0.02087,0.02652,0.1589,0.05586
17.2,71.73,371.5,0.1113,0.09457,0.03613,0.1489,0.0664
25.42,112.4,928.8,0.1109,0.1204,0.05736,0.1467,0.05407
15.79,88.37,585.9,0.06718,0.01055,0.009937,0.1405,0.05848
18.32,66.82,340.9,0.04462,0.01993,0.01111,0.2372,0.05768
16.85,117.5,990.0,0.1232,0.109,0.06254,0.172,0.0578
24.89,77.61,441.3,0.09218,0.05441,0.04274,0.182,0.0685
28.03,117.3,981.6,0.1314,0.1698,0.08293,0.1713,0.05916
17.66,95.88,674.8,0.0889,0.04069,0.0226,0.1893,0.05886
19.34,94.25,659.7,0.078,0.08817,0.02925,0.1473,0.05746
20.52,138.1,1384.0,0.1175,0.1572,0.1155,0.1554,0.05661
21.54,76.83,432.0,0.1064,0.08777,0.02386,0.1349,0.06612
25.0,127.7,1191.0,0.09871,0.1655,0.09063,0.1663,0.05391
28.23,76.77,442.5,0.0645,0.04055,0.01945,0.1615,0.06104
13.98,93.86,644.2,0.09242,0.06895,0.06495,0.165,0.06121
17.15,80.62,492.9,0.0543,0.02966,0.02272,0.1799,0.05826
30.72,86.34,557.2,0.07426,0.02819,0.03264,0.1375,0.06016
29.29,74.87,415.1,0.08574,0.0716,0.02017,0.1799,0.06166
25.25,84.1,537.9,0.05205,0.02772,0.02068,0.1619,0.05584
25.13,82.61,520.2,0.05073,0.01206,0.01762,0.1667,0.05449
28.2,61.68,290.9,0.04626,0.01541,0.01043,0.1621,0.05952
27.15,111.2,930.9,0.111,0.1007,0.06431,0.1793,0.06281
26.27,186.9,2501.0,0.1988,0.3635,0.1689,0.2061,0.05623
26.99,92.25,646.1,0.05223,0.03476,0.01737,0.1707,0.05433
18.36,73.88,412.7,0.05855,0.03367,0.01777,0.1516,0.05859
18.22,84.28,537.3,0.05994,0.04859,0.0287,0.1454,0.05549
20.13,86.87,542.9,0.1223,0.101,0.02833,0.1601,0.06432
20.74,85.98,536.9,0.1089,0.1085,0.0351,0.1562,0.0602
18.1,61.06,286.3,0.05428,0.01479,0.005769,0.168,0.06412
23.33,119.0,980.5,0.2004,0.2136,0.1002,0.1696,0.07369
18.18,76.38,408.8,0.1483,0.102,0.05564,0.1957,0.07255
18.49,61.49,289.1,0.06258,0.02948,0.01514,0.2238,0.06413
28.14,76.85,449.9,0.06,0.02367,0.02377,0.1854,0.05698
14.93,96.45,686.9,0.08549,0.05539,0.03221,0.1687,0.05669
29.97,77.42,465.4,0.03398,0.0,0.0,0.1701,0.0596
15.62,70.41,358.9,0.1069,0.05115,0.01571,0.1861,0.06837
15.73,82.89,506.9,0.08269,0.05835,0.03078,0.1705,0.05913
20.53,92.41,618.4,0.1108,0.05063,0.03058,0.1506,0.06009
16.62,88.97,599.4,0.05319,0.02224,0.01339,0.1813,0.05536
14.59,73.99,404.9,0.08228,0.05308,0.01969,0.1779,0.06574
19.51,109.8,815.8,0.1893,0.2236,0.09194,0.2151,0.06578
18.03,78.29,455.3,0.07838,0.02916,0.01527,0.1464,0.06284
19.24,88.73,602.9,0.05326,0.02995,0.0207,0.1579,0.05594
14.06,87.32,546.3,0.1155,0.05786,0.05266,0.1779,0.06639
17.64,87.76,571.1,0.07957,0.04548,0.0316,0.1732,0.06088
11.28,102.8,747.2,0.1299,0.1191,0.06211,0.1784,0.06259
16.41,82.85,476.7,0.1511,0.1544,0.04846,0.2082,0.07325
16.85,94.21,666.0,0.06698,0.05192,0.02791,0.1409,0.05355
18.82,128.1,1167.0,0.1448,0.2256,0.1194,0.1823,0.06115
16.17,75.49,420.5,0.09263,0.04279,0.03132,0.1853,0.06401
20.2,107.1,857.6,0.07112,0.03649,0.02307,0.1846,0.05325
22.44,78.18,466.5,0.052,0.01714,0.01261,0.1544,0.05976
13.23,114.6,992.1,0.06217,0.04445,0.04178,0.122,0.05243
20.56,118.4,1007.0,0.1289,0.117,0.07762,0.2116,0.06077
12.83,78.83,477.3,0.04043,0.007173,0.01149,0.1613,0.06013
20.54,84.06,538.7,0.05275,0.018,0.01256,0.1713,0.05888
20.21,96.12,680.9,0.08345,0.06824,0.04951,0.1487,0.05748
18.17,82.69,485.6,0.1334,0.08017,0.05074,0.1641,0.06854
17.31,80.45,480.1,0.0763,0.03609,0.02369,0.1526,0.06046
17.52,121.3,1068.0,0.1317,0.1491,0.09183,0.1832,0.06697
21.24,137.8,1320.0,0.1644,0.2188,0.1121,0.1848,0.06222
16.74,98.73,689.4,0.1364,0.07721,0.06142,0.1668,0.06869
24.49,92.33,595.9,0.1681,0.1357,0.06759,0.2275,0.07237
16.32,81.25,476.3,0.1085,0.05928,0.03279,0.1943,0.06612
19.83,152.1,1682.0,0.1275,0.1676,0.1003,0.1505,0.05484
12.87,61.49,248.7,0.2239,0.0973,0.05252,0.2378,0.09502
13.14,64.12,272.5,0.2204,0.1188,0.07038,0.2057,0.09575
20.04,79.47,453.1,0.1152,0.08175,0.02166,0.2124,0.06894
17.12,71.25,366.5,0.1071,0.04063,0.04268,0.1954,0.07976
15.7,104.7,819.8,0.06712,0.05526,0.04563,0.1711,0.05657
23.95,103.8,731.3,0.187,0.203,0.0852,0.1807,0.07083
14.69,76.31,426.0,0.09661,0.06726,0.02639,0.1499,0.06758
14.7,94.66,680.7,0.05016,0.03416,0.02541,0.1659,0.05348
20.52,88.64,556.7,0.1469,0.1445,0.08172,0.2116,0.07325
13.66,94.29,658.8,0.08918,0.08222,0.04349,0.1739,0.0564
19.07,97.26,701.9,0.08597,0.07486,0.04335,0.1561,0.05915
18.61,72.76,391.2,0.08499,0.04302,0.02594,0.1927,0.06211
20.58,120.8,1052.0,0.1248,0.1569,0.09451,0.186,0.05941
20.26,130.5,1214.0,0.131,0.1411,0.09431,0.1802,0.06188
18.22,84.45,493.1,0.1661,0.04825,0.05303,0.1709,0.07253
16.7,82.51,493.8,0.1117,0.0388,0.02995,0.212,0.06623
13.9,59.96,257.8,0.1225,0.03332,0.02421,0.2197,0.07696
21.6,165.5,1841.0,0.2106,0.231,0.1471,0.1991,0.06739
19.83,71.3,388.1,0.04413,0.005067,0.005664,0.1637,0.06343
18.68,88.73,571.0,0.107,0.05385,0.03783,0.1714,0.06843
15.68,63.0,293.2,0.08419,0.0233,0.02416,0.1387,0.06891
13.1,54.53,221.3,0.07632,0.02565,0.0151,0.1678,0.07126
18.75,87.44,551.1,0.1138,0.04201,0.03152,0.1723,0.06317
12.27,78.94,468.5,0.06307,0.02958,0.02647,0.1689,0.05808
13.17,90.31,594.2,0.09755,0.101,0.06615,0.1976,0.06457
13.44,77.83,445.2,0.09009,0.03781,0.02798,0.1657,0.06608
17.56,75.89,422.9,0.09713,0.05282,0.0444,0.1598,0.06677
20.02,75.21,416.2,0.09453,0.042,0.02157,0.1859,0.06461
16.33,87.76,575.5,0.07255,0.01752,0.0188,0.1631,0.06155
20.67,134.7,1299.0,0.1313,0.1523,0.1015,0.2166,0.05419
17.62,70.79,365.6,0.09752,0.05263,0.02788,0.1619,0.06408
20.86,137.8,1308.0,0.1739,0.2085,0.1322,0.2127,0.06251
22.55,93.77,629.8,0.1154,0.1463,0.06139,0.1926,0.05982
24.44,76.37,406.4,0.1552,0.04515,0.04531,0.2131,0.07405
25.49,47.98,178.8,0.04878,0.0,0.0,0.187,0.07285
25.44,48.34,170.4,0.1199,0.09252,0.01364,0.2037,0.07751
14.44,74.65,402.9,0.112,0.06737,0.02594,0.1818,0.06782
24.99,95.81,656.4,0.123,0.1009,0.0389,0.1872,0.06341
25.42,94.7,668.6,0.07214,0.04105,0.03027,0.184,0.0568
28.06,84.88,538.4,0.06877,0.02987,0.03275,0.1628,0.05781
20.7,89.77,584.8,0.1018,0.03688,0.02369,0.162,0.06688
23.23,87.19,573.2,0.06747,0.02974,0.02443,0.1664,0.05801
16.35,65.31,324.9,0.04994,0.01012,0.005495,0.1885,0.06201
16.58,65.85,320.8,0.08066,0.04358,0.02438,0.1669,0.06714
19.34,61.05,285.7,0.0503,0.02337,0.009615,0.158,0.06235
24.21,68.89,361.6,0.06602,0.01548,0.00816,0.1976,0.06328
21.48,68.51,360.5,0.04227,0.0,0.0,0.1661,0.05948
22.44,71.49,378.4,0.08194,0.04824,0.02257,0.203,0.06552
29.43,81.35,507.9,0.04234,0.01997,0.01499,0.1539,0.05637
21.94,59.01,264.0,0.05605,0.03996,0.01282,0.1692,0.06576
28.92,82.5,514.3,0.05824,0.06195,0.02343,0.1566,0.05708
27.61,65.67,321.4,0.07658,0.05999,0.02738,0.1593,0.06127
19.59,64.73,311.7,0.07504,0.005025,0.01116,0.1791,0.06331
27.88,59.26,271.3,0.04971,0.0,0.0,0.1742,0.06059
22.68,96.39,657.1,0.133,0.1029,0.03736,0.1454,0.06147
23.93,74.52,403.5,0.1021,0.1112,0.04105,0.1388,0.0657
27.15,91.38,600.4,0.1126,0.04462,0.04304,0.1537,0.06171
29.37,70.67,386.0,0.03558,0.0,0.0,0.106,0.05502
30.62,103.4,716.9,0.2087,0.255,0.09429,0.2128,0.07152
25.09,143.0,1347.0,0.2236,0.3174,0.1474,0.2149,0.06879
22.39,142.0,1479.0,0.1159,0.2439,0.1389,0.1726,0.05623
28.25,131.2,1261.0,0.1034,0.144,0.09791,0.1752,0.05533
28.08,108.3,858.1,0.1023,0.09251,0.05302,0.159,0.05648
29.33,140.1,1265.0,0.277,0.3514,0.152,0.2397,0.07016
24.54,47.92,181.0,0.04362,0.0,0.0,0.1587,0.05884
